CEO,address,address2,city,companyName,country,description,employees,exchange,industry,issueType,phone,primarySicCode,sector,securityName,state,symbol,tags,website,zip
,,,,Collaborative Investment Series Trust,,,,NYSE ARCA,,et,,,,Collaborative Investment Series Trust - Trend Aggregation Growth ETF,,TAAG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Dawn Farrell,PO Box 1900 Stn M,,Calgary,Transalta Corp.,Canada,,,"NEW YORK STOCK EXCHANGE, INC.",Hydroelectric Power Generation ,cs,14032674724,4911,Utilities,Transalta Corp.,Alberta,TAC,"['Utilities', 'Electric Utilities', 'Hydroelectric Power Generation ']",https://www.transalta.com/,T2P 2M1
,,,,Trepont Acquisition Corp I,,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,,6770,,Trepont Acquisition Corp I - Class A,,TACA,[],,
,,,,Trepont Acquisition Corp I,,,,"NEW YORK STOCK EXCHANGE, INC.",,wt,,6770,,Trepont Acquisition Corp I - Warrants (24/11/2025),,TACA+,[],,
,,,,Trepont Acquisition Corp I,,,,"NEW YORK STOCK EXCHANGE, INC.",,,,6770,,Trepont Acquisition Corp I - Units (1 Ord Class A & 1/2 War),,TACA=,[],,
,,,,Collaborative Investment Series Trust,,,,NYSE ARCA,,et,,,,Collaborative Investment Series Trust - Trend Aggregation Conservative,,TACE,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
John Cappasola,25521 Commercentre Dr,,Lake Forest,Del Taco Restaurants Inc,US,"Del Taco offers a unique variety of both Mexican and American favorites such as burritos and fries, prepared fresh in every restaurant's working kitchen with the value and convenience of a drive-thru. Del Taco's menu items taste better because they are made with quality ingredients like fresh grilled chicken and carne asada steak, sliced avocado, freshly grated cheddar cheese, slow-cooked beans made from scratch, and creamy Queso Blanco.  Founded in 1964, today Del Taco serves more than three million guests each week at its approximately 600 restaurants across 16 states. Del Taco's commitment to providing guests with the best quality and value for their money originates from cooking, chopping, shredding and grilling menu items from scratch.",,NASDAQ CAPITAL MARKET,Food Service Contractors,cs,19494629300,5812,Accommodation and Food Services,Del Taco Restaurants Inc,California,TACO,"['Consumer Services', 'Restaurants', 'Accommodation and Food Services', 'Food Service Contractors']",,92630-8857
,,,,Transact Technologies Inc.,,,,NASDAQ/NMS (GLOBAL MARKET),Computer Storage Device Manufacturing ,cs,,3577,Manufacturing,Transact Technologies Inc.,,TACT,"['Producer Manufacturing', 'Office Equipment/Supplies', 'Electronic Technology', 'Computer Peripherals', 'Manufacturing', 'Computer Storage Device Manufacturing ']",,
,,,,Collaborative Investment Series Trust,,,,NYSE ARCA,,et,,,,Collaborative Investment Series Trust - Trend Aggregation Dividend Sto,,TADS,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Collaborative Investment Series Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Collaborative Investment Series Trust - Trend Aggregation U.S. ETF,,TAEQ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,"Teucrium Trading, LLC",,,,NYSE ARCA,,et,,,,"Teucrium Trading, LLC - Teucrium Agricultural Fund",,TAGS,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Cambria Investment Management LP,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Cambria Investment Management LP - Cambria Tail Risk ETF,,TAIL,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Taitron Components Inc.,,,,NASDAQ CAPITAL MARKET,Business to Business Electronic Markets ,cs,,5065,Wholesale Trade,Taitron Components Inc. - Class A,,TAIT,"['Distribution Services', 'Electronics Distributors', 'Wholesale Trade', 'Business to Business Electronic Markets ']",,
Christophe Weber,4F,"2-1-1, Nihombashihon-cho",Chuo Ku,Takeda Pharmaceutical Co,Japan,,,"NEW YORK STOCK EXCHANGE, INC.",Medicinal and Botanical Manufacturing ,ad,81332782111,2834,Manufacturing,Takeda Pharmaceutical Co - ADR,Tokyo To,TAK,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",https://www.takeda.com/,103-8668
Bangxin Zhang,"18F, Hesheng Building","32 Zhongguancun Avenue, Haidian District",Beijing,TAL Education Group,China (Mainland),,,"NEW YORK STOCK EXCHANGE, INC.",Professional and Management Development Training ,ad,861052926692,8299,Educational Services,TAL Education Group - ADR,Beijing,TAL,"['Consumer Services', 'Other Consumer Services', 'Educational Services', 'Professional and Management Development Training ']",http://en.100tal.com,100080
Timothy Duncan,333 Clay St Ste 3300,,Houston,Talos Energy Inc,US,"Talos Energy is a technically driven independent exploration and production company focused on safely and efficiently maximizing cash flows and long-term value through its operations, currently in the United States Gulf of Mexico and offshore Mexico. As one of the U.S. Gulf of Mexico's largest public independent producers, Talos Energy leverages decades of geology, geophysics and offshore operations expertise towards the acquisition, exploration, exploitation and development of assets in key geological trends that are present in many offshore basins around the world. Its activities in offshore Mexico provide high impact exploration opportunities in an oil rich emerging basin.",,"NEW YORK STOCK EXCHANGE, INC.",Crude Petroleum and Natural Gas Extraction ,cs,17133283000,1311,"Mining, Quarrying, and Oil and Gas Extraction",Talos Energy Inc,Texas,TALO,"['Energy Minerals', 'Oil & Gas Production', 'Integrated Oil']",http://www.talosenergy.com,77002-4104
,,,,Invesco Capital Management LLC,,,,NYSE ARCA,,et,,,,Invesco Capital Management LLC - Invesco Solar ETF,,TAN,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Tantech Holdings Ltd,,,,NASDAQ CAPITAL MARKET,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",cs,,2861,Manufacturing,Tantech Holdings Ltd,,TANH,"['Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ', 'Process Industries', 'Manufacturing', 'Chemicals: Specialty']",,
,,,,TravelCenters of America Inc,,,,NASDAQ,New Car Dealers ,ps,,5500,Retail Trade,TravelCenters of America Inc - 8.25% NT REDEEM 15/01/2028 USD 25,,TANNI,"['Consumer Services', 'Other Consumer Services', 'Retail Trade', 'New Car Dealers ']",,
,,,,TravelCenters of America Inc,,,,NASDAQ,New Car Dealers ,ps,,5500,Retail Trade,TravelCenters of America Inc - 8% NT REDEEM 15/12/2029 USD 25,,TANNL,"['Consumer Services', 'Other Consumer Services', 'Retail Trade', 'New Car Dealers ']",,
,,,,TravelCenters of America Inc,,,,NASDAQ,New Car Dealers ,ps,,5500,Retail Trade,TravelCenters of America Inc - 8% NT REDEEM 15/10/2030 USD 25,,TANNZ,"['Consumer Services', 'Other Consumer Services', 'Retail Trade', 'New Car Dealers ']",,
,,,,Taoping Inc.,,,,NASDAQ CAPITAL MARKET,"Data Processing, Hosting, and Related Services",cs,,7372,Information,Taoping Inc.,,TAOP,"['Technology Services', 'Information Technology Services', 'Information', 'Data Processing, Hosting, and Related Services']",,
Gavin Hattersley,P.O. Box 4030,Nh353,Golden,Molson Coors Beverage Company,US,"For over two centuries Molson Coors has been brewing beverages that unite people for all of life’s moments. From Coors Light, Miller Lite, Molson Canadian, Carling, and Staropramen to Coors Banquet, Blue Moon Belgian White, Blue Moon LightSky, Vizzy, Leinenkugel’s Summer Shandy, Creemore Springs and more, Molson Coors produces some of the most beloved and iconic beer brands ever made. While the company’s history is rooted in beer, Molson Coors offers a modern portfolio that expands beyond the beer aisle as well. The company’s commitment to raising industry standards and leaving a positive imprint on its employees, consumers, communities and the environment is reflected in its Imprint and its 2025 sustainability targets.",17700,"NEW YORK STOCK EXCHANGE, INC.",Breweries,cs,13032796565,2082,Manufacturing,Molson Coors Beverage Company - Class B,Colorado,TAP,"['Consumer Non-Durables', 'Beverages: Alcoholic', 'Manufacturing', 'Breweries']",https://www.molsoncoors.com/,80401
Gavin Hattersley,P.O. Box 4030,Nh353,Golden,Molson Coors Beverage Company,US,,,"NEW YORK STOCK EXCHANGE, INC.",Breweries,cs,13032796565,2082,Manufacturing,Molson Coors Beverage Company - Class A,Colorado,TAP.A,"['Consumer Non-Durables', 'Beverages: Alcoholic', 'Manufacturing', 'Breweries']",https://www.molsoncoors.com/,80401
Jesse Shefferman,1 Little West 12Th Street,,New York,Protara Therapeutics Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,16468440337,2836,Manufacturing,Protara Therapeutics Inc,New York,TARA,"['Health Technology', 'Biotechnology', 'Pharmaceuticals: Major', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",https://protaratx.com/,10014
Uday Baldota,,,14 Hakitor Street Po Box 10347,Taro Pharmaceutical Industries,Israel,,,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceutical Preparation Manufacturing ,cs,97248475700,2834,Manufacturing,Taro Pharmaceutical Industries,Haifa,TARO,"['Health Technology', 'Pharmaceuticals: Generic', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://www.taro.com,2624761
,,,,Tarsus Pharmaceuticals Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,,2836,Manufacturing,Tarsus Pharmaceuticals Inc,,TARS,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",,
,968 James St,,Syracuse,Carrols Restaurant Group Inc.,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Full-Service Restaurants ,cs,13154240513,5812,Accommodation and Food Services,Carrols Restaurant Group Inc.,New York,TAST,"['Consumer Services', 'Restaurants', 'Accommodation and Food Services', 'Full-Service Restaurants ']",http://www.carrols.com/,13203-2503
,,,,Tat Technologies,,,,NASDAQ/NMS (GLOBAL MARKET),Small Arms Ammunition Manufacturing ,cs,,3724,Manufacturing,Tat Technologies,,TATT,"['Producer Manufacturing', 'Industrial Machinery', 'Electronic Technology', 'Aerospace & Defense', 'Manufacturing', 'Small Arms Ammunition Manufacturing ']",,
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - American Century Diversified Municipal Bo,,TAXF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Taylor Devices Inc.,,,,NASDAQ CAPITAL MARKET,Iron and Steel Forging ,cs,,3569,Manufacturing,Taylor Devices Inc.,,TAYD,"['Producer Manufacturing', 'Industrial Machinery', 'Manufacturing', 'Iron and Steel Forging ']",,
,,,,Thoma Bravo Advantage,,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,,6770,,Thoma Bravo Advantage - Class A,,TBA,[],,
John Stankey,208 S Akard St,,Dallas,"AT&T, Inc.",US,,,"NEW YORK STOCK EXCHANGE, INC.",Telecommunications Resellers ,ps,12108214105,4813,Information,"AT&T, Inc. - 5.35% NT REDEEM 01/11/2066 USD 25",Texas,TBB,"['Communications', 'Major Telecommunications', 'Information', 'Telecommunications Resellers ']",https://www.att.com/,75202-4206
,,,,Bancorp Inc. (The),,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,,6021,Finance and Insurance,Bancorp Inc. (The),,TBBK,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
John Stankey,208 S Akard St,,Dallas,"AT&T, Inc.",US,,,"NEW YORK STOCK EXCHANGE, INC.",Telecommunications Resellers ,ps,12108214105,4813,Information,"AT&T, Inc. - 5.625% NT REDEEM 01/08/2067 USD 25",Texas,TBC,"['Communications', 'Major Telecommunications', 'Information', 'Telecommunications Resellers ']",https://www.att.com/,75202-4206
,,,,Thunder Bridge Capital Partners III Inc,,,,NASDAQ CAPITAL MARKET,,,,6770,,Thunder Bridge Capital Partners III Inc - Units (1 Ord Share Class A &,,TBCPU,[],,
,,,,ProShares Trust,,,,NYSE ARCA,,et,,,,ProShares Trust - ProShares Short 20+ Year Treasury,,TBF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,TrueBlue Inc,,,,"NEW YORK STOCK EXCHANGE, INC.",Human Resources Consulting Services ,cs,,7363,"Professional, Scientific, and Technical Services",TrueBlue Inc,,TBI,"['Commercial Services', 'Personnel Services', 'Professional, Scientific, and Technical Services', 'Human Resources Consulting Services ']",,
,,,,Translate Bio Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,,2836,Manufacturing,Translate Bio Inc,,TBIO,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",,
,,,,Innovator ETFs Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Innovator ETFs Trust - Innovator 20+ Year Treasury Bond 9 Buffer ETF -,,TBJL,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Aaron Graft,12700 Park Central Dr Ste 1700,,Dallas,Triumph Bancorp Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,12143656900,6022,Finance and Insurance,Triumph Bancorp Inc,Texas,TBK,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.triumphbancorp.com/,75251-1517
Aaron Graft,12700 Park Central Dr Ste 1700,,Dallas,Triumph Bancorp Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,ps,12143656900,6022,Finance and Insurance,Triumph Bancorp Inc - 7.125% PRF PERPETUAL USD 25 - Ser C 1/40 Int,Texas,TBKCP,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.triumphbancorp.com/,75251-1517
Michael Panosian,655 N Central Ave Ste 1727,,Glendale,Toughbuilt Industries Inc,US,,,NASDAQ CAPITAL MARKET,Hosiery and Sock Mills,cs,18002884695,3420,Manufacturing,Toughbuilt Industries Inc,California,TBLT,"['Consumer Non-Durables', 'Apparel/Footwear', 'Manufacturing', 'Hosiery and Sock Mills']",http://www.toughbuilt.com/,91203-1422
Michael Panosian,655 N Central Ave Ste 1727,,Glendale,Toughbuilt Industries Inc,US,,,NASDAQ CAPITAL MARKET,Hosiery and Sock Mills,wt,18002884695,3420,Manufacturing,Toughbuilt Industries Inc - Warrants - Series A (09/11/2023),California,TBLTW,"['Consumer Non-Durables', 'Apparel/Footwear', 'Manufacturing', 'Hosiery and Sock Mills']",http://www.toughbuilt.com/,91203-1422
Allan Kitagawa,1132 Bishop St Ste 2200,,Honolulu,Territorial Bancorp Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Savings Institutions ,cs,18089461400,6035,Finance and Insurance,Territorial Bancorp Inc,Hawaii,TBNK,"['Finance', 'Regional Banks', 'Financial Conglomerates', 'Finance and Insurance', 'Savings Institutions ']",,96813-2846
Rick Winningham,"Ugland House, South Church Street",,George Town,Theravance Biopharma Inc,Cayman Islands,,,NASDAQ/NMS (GLOBAL MARKET),Pharmaceutical Preparation Manufacturing ,cs,6508086000,2834,Manufacturing,Theravance Biopharma Inc,Grand Cayman,TBPH,"['Health Technology', 'Pharmaceuticals: Other', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",,KY1-1104
,,,,Invesco Capital Management LLC,,,,NYSE ARCA,,et,,,,Invesco Capital Management LLC - PowerShares UltraShort Lehman 20+ Yea,,TBT,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,ProShares Trust,,,,NYSE ARCA,,et,,,,ProShares Trust - ProShares Short 7-10 Year Treasury,,TBX,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,TuanChe Ltd,,,,NASDAQ CAPITAL MARKET,Tobacco Manufacturing ,ad,,7389,Manufacturing,TuanChe Ltd - ADR,,TC,"['Retail Trade', 'Catalog/Specialty Distribution', 'Internet Retail', 'Manufacturing', 'Tobacco Manufacturing ']",,
,,,,Tuatara Capital Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,,,6770,,Tuatara Capital Acquisition Corp - Units (1 Ord Share Class A & 1/2 Wa,,TCACU,[],,
C. Keith Cargill,2000 McKinney Ave Ste 700,,Dallas,"Texas Capital Bancshares, Inc.",US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,12149326600,6022,Finance and Insurance,"Texas Capital Bancshares, Inc.",Texas,TCBI,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.texascapitalbank.com/,75201-1985
C. Keith Cargill,2000 McKinney Ave Ste 700,,Dallas,"Texas Capital Bancshares, Inc.",US,,,NASDAQ,Commercial Banking ,ps,12149326600,6022,Finance and Insurance,"Texas Capital Bancshares, Inc. - 6.50% NT REDEEM 21/09/2042 USD 25",Texas,TCBIL,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.texascapitalbank.com/,75201-1985
C. Keith Cargill,2000 McKinney Ave Ste 700,,Dallas,"Texas Capital Bancshares, Inc.",US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,ps,12149326600,6022,Finance and Insurance,"Texas Capital Bancshares, Inc. - 6.50% PRF PERPETUAL USD 25 - Ser A",Texas,TCBIP,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.texascapitalbank.com/,75201-1985
,,,,Trico Bancshares,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,,6022,Finance and Insurance,Trico Bancshares,,TCBK,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
Gerrit Klaerner,7000 Shoreline Ct Ste 201,,South San Francisco,Tricida Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Pharmaceutical Preparation Manufacturing ,cs,14154297800,2834,Manufacturing,Tricida Inc,California,TCDA,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.tricida.com/,94080-7603
Craig Dahl,333 W Fort St Ste 1800,,Detroit,TCF Financial Corp,US,"TCF Financial Corporation is a Detroit, Michigan-based financial holding company with $48 billionin total assets at Sept. 30, 2020 and a top 10 deposit market share in the Midwest. TCF's primary banking subsidiary, TCF National Bank, is a premier Midwest bank offering consumer and commercial banking, trust and wealth management, and specialty leasing and lending products and services to consumers, small businesses and commercial clients. TCF has approximately 475 branches primarily located in Michigan, Illinoisand Minnesotawith additional locations in Colorado, Ohio, South Dakotaand Wisconsin. TCF also conducts business across all 50 states and Canadathrough its specialty lending and leasing businesses.",10000,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,18008679757,6021,Finance and Insurance,TCF Financial Corp,Michigan,TCF,"['Finance', 'Major Banks', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",http://ir.tcfbank.com/,48226-3186
William Pasenelli,3035 Leonardtown Rd,PO Box 38,Waldorf,Community Financial Corp,US,,,NASDAQ CAPITAL MARKET,Commercial Banking ,cs,13016455601,6022,Finance and Insurance,Community Financial Corp,Maryland,TCFC,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.cbtc.com/,20601-3112
Craig Dahl,333 W Fort St Ste 1800,,Detroit,TCF Financial Corp,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,ps,18008679757,6021,Finance and Insurance,TCF Financial Corp - 5.70% PRF PERPETUAL USD 25 - Ser C Dep Rep 1/1000,Michigan,TCFCP,"['Finance', 'Regional Banks', 'Major Banks', 'Finance and Insurance', 'Commercial Banking ']",http://ir.tcfbank.com/,48226-3186
,,,,T. Rowe Price ExchangeTraded Funds Inc,,,,NYSE ARCA,,et,,,,T. Rowe Price ExchangeTraded Funds Inc - T. Rowe Price Blue Chip Growt,,TCHP,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Daniel Moos,1603 Lyndon B Johnson Fwy Ste 800,,Dallas,"Transcontinental Realty Investors, Inc.",US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,cs,14695224200,6798,Finance and Insurance,"Transcontinental Realty Investors, Inc.",Texas,TCI,"['Finance', 'Real Estate Development', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",http://www.transconrealty-invest.com/,75234-6061
Gerald Mattys,1331 Tyler St NE Ste 200,,Minneapolis,Tactile Systems Technology Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Surgical and Medical Instrument Manufacturing ,cs,18664353948,3841,Manufacturing,Tactile Systems Technology Inc,Minnesota,TCMD,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",https://www.tactilemedical.com/,55413-1638
Jie Sun,No. 99 Fu Quan Road,,Shanghai,Trip.com Group Ltd,China (Mainland),,,NASDAQ/NGS (GLOBAL SELECT MARKET),Tobacco Manufacturing ,ad,862134064880,7389,Manufacturing,Trip.com Group Ltd - ADR,Shanghai,TCOM,"['Consumer Services', 'Other Consumer Services', 'Manufacturing', 'Tobacco Manufacturing ']",http://www.ctrip.com,200335
,,,,TRACON Pharmaceuticals Inc,,,,NASDAQ CAPITAL MARKET,Biological Product (except Diagnostic) Manufacturing ,cs,,2836,Manufacturing,TRACON Pharmaceuticals Inc,,TCON,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",,
,700 Louisiana St Ste 700,,Houston,"TC Pipelines, LP",US,,,"NEW YORK STOCK EXCHANGE, INC.",Pipeline Transportation of Natural Gas,,18772902772,4922,Transportation and Warehousing,"TC Pipelines, LP - Unit",Texas,TCP,"['Industrial Services', 'Oil & Gas Pipelines', 'Transportation and Warehousing', 'Pipeline Transportation of Natural Gas']",http://www.tcpipelineslp.com/,77002-2700
Howard Levkowitz,2951 28th St Ste 1000,,Santa Monica,BlackRock TCP Capital Corp,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Securities and Commodity Exchanges,cs,13105661000,7299,Finance and Insurance,BlackRock TCP Capital Corp,California,TCPC,"['Finance', 'Financial Conglomerates', 'Miscellaneous', 'Investment Trusts/Mutual Funds', 'Finance and Insurance', 'Securities and Commodity Exchanges']",http://www.tcpcapital.com/,90405-2993
Garry Menzel,100 Binney St,,Cambridge,Tcr2 Therapeutics Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,16179495200,2836,Manufacturing,Tcr2 Therapeutics Inc,Massachusetts,TCRR,"['Pharmaceuticals: Major', 'Health Technology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",http://www.tcr2.com/,02142-1096
Melissa Reiff,500 Freeport Pkwy,,Coppell,Container Store Group Inc,US,"The Container Store Group, Inc. is the nation’s leading retailer of storage and organization products and solutions – a concept they originated in 1978. Today, with locations nationwide, the retailer offers more than 11,000 products designed to help customers accomplish projects, maximize their space and make the most of their home. The Container Store also offers a full suite of custom closets designed to accommodate all sizes, styles and budgets.",5110,"NEW YORK STOCK EXCHANGE, INC.","Beer, Wine, and Liquor Stores ",cs,19725386000,5311,Retail Trade,Container Store Group Inc,Texas,TCS,"['Retail Trade', 'Specialty Stores', 'Beer, Wine, and Liquor Stores ']",http://investor.containerstore.com/about/overview/default.aspx,75019-7420
,,,,Premise Capital LLC,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Premise Capital LLC - Premise Capital Diversified Tactical ETF,,TCTL,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Elliot Noss,96 Mowat Ave,,Toronto,"Tucows, Inc.",Canada,,,NASDAQ CAPITAL MARKET,"Data Processing, Hosting, and Related Services",cs,14168187060,7374,Information,"Tucows, Inc. - Class A",Ontario,TCX,"['Technology Services', 'Internet Software/Services', 'Information', 'Data Processing, Hosting, and Related Services']",http://www.tucows.com/,M6K 3M1
Bharat Masrani,P.O. Box 1,Toronto-Dominion Centre,Toronto,Toronto Dominion Bank,Canada,"The Toronto-Dominion Bank and its subsidiaries are collectively known as TD Bank Group ('TD' or the 'Bank'). TD is the sixth largest bank in North Americaby branches and serves over 26 million customers in three key businesses operating in a number of locations in financial centres around the globe: Canadian Retail, including TD Canada Trust, TD Auto Finance Canada, TD Wealth (Canada), TD Direct Investing, and TD Insurance; U.S. Retail, including TD Bank, America's Most Convenient Bank®, TD Auto Finance U.S., TD Wealth (U.S.), and an investment in The Charles Schwab Corporation; and Wholesale Banking, including TD Securities. TD also ranks among the world's leading online financial services firms, with more than 14 million active online and mobile customers. TD had CDN$1.7 trillionin assets on October 31, 2020. The Toronto-Dominion Bank trades under the symbol 'TD' on the Torontoand New York Stock Exchanges.",89031,"NEW YORK STOCK EXCHANGE, INC.",Commercial Banking ,cs,14169446367,6029,Finance and Insurance,Toronto Dominion Bank,Ontario,TD,"['Finance', 'Major Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.td.com/,M5K 1A2
,,,,"Telephone And Data Systems, Inc.",,,,"NEW YORK STOCK EXCHANGE, INC.",Wireless Telecommunications Carriers (except Satellite),ps,,4813,Information,"Telephone And Data Systems, Inc. - 5.875% NT REDEEM 01/12/2061 USD 25",,TDA,"['Communications', 'Wireless Telecommunications']",,
,77 Water St Fl 8,,New York,Trident Acquisitions Corp,US,,,NASDAQ CAPITAL MARKET,,cs,16462297549,6770,,Trident Acquisitions Corp,New York,TDAC,"['Finance', 'Financial Conglomerates']",,10005-4418
,77 Water St Fl 8,,New York,Trident Acquisitions Corp,US,,,NASDAQ CAPITAL MARKET,,,16462297549,6770,,Trident Acquisitions Corp - Units (1 Ord & 1 War),New York,TDACU,"['Finance', 'Financial Conglomerates']",,10005-4418
,77 Water St Fl 8,,New York,Trident Acquisitions Corp,US,,,NASDAQ CAPITAL MARKET,,wt,16462297549,6770,,Trident Acquisitions Corp - Warrants (09/05/2023),New York,TDACW,"['Finance', 'Financial Conglomerates']",,10005-4418
Stephen McMillan,17095 Via Del Campo,,San Diego,Teradata Corp,US,,,"NEW YORK STOCK EXCHANGE, INC.",Electronic Computer Manufacturing ,cs,18665488348,3571,Manufacturing,Teradata Corp,California,TDC,"['Electronic Technology', 'Computer Processing Hardware', 'Manufacturing', 'Electronic Computer Manufacturing ']",https://www.teradata.com/,92127-1711
,,,,"Telephone And Data Systems, Inc.",,,,"NEW YORK STOCK EXCHANGE, INC.",Wireless Telecommunications Carriers (except Satellite),ps,,4813,Information,"Telephone And Data Systems, Inc. - 6.875% NT REDEEM 15/11/2059 USD 25",,TDE,"['Communications', 'Wireless Telecommunications']",,
,300 SE 2nd St,,Fort Lauderdale,Templeton Dragon Fund Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,19545277500,,,Templeton Dragon Fund Inc,Florida,TDF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",https://www.franklintempleton.com/investor/products/closed-end-funds/overview/581/templeton-dragon-f,33301-1923
,,,,Transdigm Group Incorporated,,"TransDigm Group, through its wholly-owned subsidiaries, is a leading global designer, producer and supplier of highly engineered aircraft components for use on nearly all commercial and military aircraft in service today. Major product offerings, substantially all of which are ultimately provided to end-users in the aerospace industry, include mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, specialized pumps and valves, power conditioning devices, specialized AC/DC electric motors and generators, batteries and chargers, engineered latching and locking devices, engineered rods, engineered connectors and elastomer sealing solutions, databus and power controls, cockpit security components and systems, specialized and advanced cockpit displays, aircraft audio systems, specialized lavatory components, seat belts and safety restraints, engineered and customized interior surfaces and related components, advanced sensor products, switches and relay panels, thermal protection and insulation, lighting and control technology, parachutes, high performance hoists, winches and lifting devices, and cargo loading, handling and delivery systems.",14200,"NEW YORK STOCK EXCHANGE, INC.",Small Arms Ammunition Manufacturing ,cs,,3728,Manufacturing,Transdigm Group Incorporated,,TDG,"['Electronic Technology', 'Aerospace & Defense', 'Manufacturing', 'Small Arms Ammunition Manufacturing ']",,
